date,close,cashflow,units_bought,units,cumulative_contribution,market_value,profit,investment_return,time_weighted_nav,running_peak,drawdown
2016-01-04,3469.07,1000.0,0.2882616954976406,0.2882616954976406,1000.0,1000.0,0.0,0.0,1.0,1.0,0.0
2016-01-05,3478.78,0.0,0.0,0.2882616954976406,1000.0,1002.7990210632821,2.7990210632821118,0.0027990210632820034,1.002799021063282,1.002799021063282,0.0
2016-01-06,3539.81,0.0,0.0,0.2882616954976406,1000.0,1020.3916323395031,20.391632339503076,0.02039163233950303,1.020391632339503,1.020391632339503,0.0
2016-01-07,3294.38,0.0,0.0,0.2882616954976406,1000.0,949.6435644135172,-50.3564355864828,-0.05035643558648284,0.9496435644135172,1.020391632339503,-0.06933422980329451
2016-01-08,3361.56,0.0,0.0,0.2882616954976406,1000.0,969.0089851170486,-30.99101488295139,-0.030991014882951418,0.9690089851170486,1.020391632339503,-0.050355810057601924
2016-01-11,3192.45,0.0,0.0,0.2882616954976406,1000.0,920.2610497914426,-79.73895020855741,-0.07973895020855737,0.9202610497914425,1.020391632339503,-0.09812956062613543
2016-01-12,3215.71,0.0,0.0,0.2882616954976406,1000.0,926.9660168287178,-73.03398317128222,-0.07303398317128218,0.9269660168287177,1.020391632339503,-0.09155858647780535
2016-01-13,3155.88,0.0,0.0,0.2882616954976406,1000.0,909.719319587094,-90.28068041290601,-0.09028068041290604,0.909719319587094,1.020391632339503,-0.10846062359279163
2016-01-14,3221.57,0.0,0.0,0.2882616954976406,1000.0,928.655230364334,-71.34476963566601,-0.07134476963566605,0.928655230364334,1.020391632339503,-0.0899031303940041
2016-01-15,3118.73,0.0,0.0,0.2882616954976406,1000.0,899.0103975993566,-100.98960240064343,-0.10098960240064347,0.8990103975993565,1.020391632339503,-0.11895553716159912
2016-01-18,3130.73,0.0,0.0,0.2882616954976406,1000.0,902.4695379453283,-97.53046205467172,-0.09753046205467175,0.9024695379453282,1.020391632339503,-0.11556552470330328
2016-01-19,3223.13,0.0,0.0,0.2882616954976406,1000.0,929.1049186093103,-70.89508139068971,-0.07089508139068967,0.9291049186093102,1.020391632339503,-0.08946242877442578
2016-01-20,3174.38,0.0,0.0,0.2882616954976406,1000.0,915.0521609538004,-84.94783904619965,-0.08494783904619962,0.9150521609538003,1.020391632339503,-0.10323435438625239
2016-01-21,3081.35,0.0,0.0,0.2882616954976406,1000.0,888.2351754216547,-111.76482457834527,-0.11176482457834525,0.8882351754216548,1.020391632339503,-0.1295154259691904
2016-01-22,3113.46,0.0,0.0,0.2882616954976406,1000.0,897.491258464084,-102.50874153591599,-0.10250874153591594,0.897491258464084,1.020391632339503,-0.12044431763286734
2016-01-25,3128.89,0.0,0.0,0.2882616954976406,1000.0,901.9391364256126,-98.06086357438744,-0.09806086357438748,0.9019391364256125,1.020391632339503,-0.1160853266135754
2016-01-26,2940.51,0.0,0.0,0.2882616954976406,1000.0,847.6363982277671,-152.36360177223287,-0.15236360177223285,0.8476363982277672,1.020391632339503,-0.16930287218805518
2016-01-27,2930.35,0.0,0.0,0.2882616954976406,1000.0,844.707659401511,-155.29234059848898,-0.15529234059848895,0.844707659401511,1.020391632339503,-0.172173082736079
2016-01-28,2853.76,0.0,0.0,0.2882616954976406,1000.0,822.6296961433468,-177.3703038566532,-0.1773703038566532,0.8226296961433468,1.020391632339503,-0.19380983725115186
