date,contribution,close,execution_price,fee,units_bought,cumulative_units,cumulative_contribution
2016-01-04,1000.0,3469.07,3469.07,0.0,0.2882616954976406,0.2882616954976406,1000.0
2016-02-01,1000.0,2901.05,2901.05,0.0,0.34470278002792093,0.6329644755255615,2000.0
2016-03-01,1000.0,2930.69,2930.69,0.0,0.3412165735714115,0.9741810490969729,3000.0
2016-04-01,1000.0,3221.89,3221.89,0.0,0.31037682850749093,1.2845578776044637,4000.0
2016-05-03,1000.0,3213.54,3213.54,0.0,0.31118330563801916,1.5957411832424828,5000.0
2016-06-01,1000.0,3160.55,3160.55,0.0,0.3164006264732404,1.9121418097157232,6000.0
2016-07-01,1000.0,3154.2,3154.2,0.0,0.3170376006594382,2.2291794103751617,7000.0
2016-08-01,1000.0,3176.81,3176.81,0.0,0.3147811798628184,2.54396059023798,8000.0
2016-09-01,1000.0,3301.58,3301.58,0.0,0.3028852852270731,2.846845875465053,9000.0
2016-10-10,1000.0,3293.87,3293.87,0.0,0.3035942523536144,3.1504401278186673,10000.0
2016-11-01,1000.0,3359.05,3359.05,0.0,0.2977032196603206,3.4481433474789878,11000.0
2016-12-01,1000.0,3565.04,3565.04,0.0,0.28050176155106255,3.72864510903005,12000.0
2017-01-03,1000.0,3342.23,3342.23,0.0,0.2992014313796477,4.027846540409698,13000.0
2017-02-03,1000.0,3364.49,3364.49,0.0,0.29722186720721416,4.325068407616912,14000.0
2017-03-01,1000.0,3458.44,3458.44,0.0,0.2891477082152647,4.614216115832177,15000.0
2017-04-05,1000.0,3503.89,3503.89,0.0,0.28539708723732765,4.899613203069504,16000.0
2017-05-02,1000.0,3426.58,3426.58,0.0,0.2918361748448891,5.191449377914393,17000.0
2017-06-01,1000.0,3497.74,3497.74,0.0,0.28589889471487306,5.477348272629266,18000.0
2017-07-03,1000.0,3650.85,3650.85,0.0,0.27390881575523507,5.751257088384501,19000.0
2017-08-01,1000.0,3770.38,3770.38,0.0,0.2652252558097592,6.0164823441942605,20000.0
2017-09-01,1000.0,3830.54,3830.54,0.0,0.2610597983574118,6.277542142551672,21000.0
2017-10-09,1000.0,3882.21,3882.21,0.0,0.25758524139600897,6.535127383947681,22000.0
2017-11-01,1000.0,3996.62,3996.62,0.0,0.25021142865721535,6.785338812604897,23000.0
2017-12-01,1000.0,3998.14,3998.14,0.0,0.25011630408139784,7.035455116686294,24000.0
2018-01-02,1000.0,4087.4,4087.4,0.0,0.24465430346919803,7.280109420155492,25000.0
2018-02-01,1000.0,4245.9,4245.9,0.0,0.23552132645611062,7.515630746611603,26000.0
2018-03-01,1000.0,4049.09,4049.09,0.0,0.24696907206310553,7.762599818674708,27000.0
2018-04-02,1000.0,3886.92,3886.92,0.0,0.2572731108435471,8.019872929518256,28000.0
2018-05-02,1000.0,3763.65,3763.65,0.0,0.26569952041236566,8.285572449930621,29000.0
2018-06-01,1000.0,3770.59,3770.59,0.0,0.26521048430086536,8.550782934231487,30000.0
2018-07-02,1000.0,3407.96,3407.96,0.0,0.29343067406894446,8.84421360830043,31000.0
2018-08-01,1000.0,3447.39,3447.39,0.0,0.2900745201442251,9.134288128444656,32000.0
2018-09-03,1000.0,3321.82,3321.82,0.0,0.3010397914396325,9.435327919884289,33000.0
2018-10-08,1000.0,3290.9,3290.9,0.0,0.3038682427299523,9.739196162614242,34000.0
2018-11-01,1000.0,3177.03,3177.03,0.0,0.3147593821902846,10.053955544804527,35000.0
2018-12-03,1000.0,3260.95,3260.95,0.0,0.3066591024088073,10.360614647213334,36000.0
2019-01-02,1000.0,2969.54,2969.54,0.0,0.3367524936522155,10.697367140865548,37000.0
2019-02-01,1000.0,3247.4,3247.4,0.0,0.30793865861920305,11.005305799484752,38000.0
2019-03-01,1000.0,3749.71,3749.71,0.0,0.2666872904837974,11.27199308996855,39000.0
