date,cashflow,cash,equity_value,market_value,cumulative_contribution,profit,investment_return,daily_return,time_weighted_nav,cash_weight,running_peak,drawdown
2016-01-04,1000.0,6.073150871088728e-10,999.9999999993927,1000.0,1000.0,0.0,0.0,0.0,1.0,6.073150871088728e-13,1.0,0.0
2016-01-05,0.0,6.073150871088728e-10,980.8449532554711,980.8449532560784,1000.0,-19.155046743921616,-0.019155046743921655,-0.019155046743921655,0.9808449532560783,6.191754212455181e-13,1.0,-0.019155046743921655
2016-01-06,0.0,6.073150871088728e-10,1003.0983692636094,1003.0983692642167,1000.0,3.0983692642166716,0.0030983692642165828,0.022688005820149515,1.0030983692642166,6.054392128603946e-13,1.0030983692642166,0.0
2016-01-07,0.0,6.073150871088728e-10,918.8062629248941,918.8062629255014,1000.0,-81.19373707449859,-0.08119373707449862,-0.08403174496290367,0.9188062629255014,6.60982746433581e-13,1.0030983692642166,-0.08403174496290367
2016-01-08,0.0,6.073150871088728e-10,921.9522326719135,921.9522326725208,1000.0,-78.04776732747916,-0.0780477673274792,0.003423975079362762,0.9219522326725207,6.587272806405712e-13,1.0030983692642166,-0.08089549248416927
2016-01-11,0.0,6.073150871088728e-10,855.1930220546758,855.1930220552831,1000.0,-144.8069779447169,-0.14480697794471686,-0.07241070442849151,0.8551930220552829,7.101497222806076e-13,1.0030983692642166,-0.14744849731679244
2016-01-12,0.0,6.073150871088728e-10,855.0981101871743,855.0981101877816,1000.0,-144.90188981221843,-0.1449018898122184,-0.00011098297700495863,0.8550981101877814,7.102285455589476e-13,1.0030983692642166,-0.1475431160206102
2016-01-13,0.0,6.073150871088728e-10,820.264167282641,820.2641672832483,1000.0,-179.7358327167517,-0.17973583271675175,-0.04073677919470975,0.8202641672832481,7.403896346226212e-13,1.0030983692642166,-0.18226946387628895
2016-01-14,0.0,6.073150871088728e-10,853.95692155796,853.9569215585673,1000.0,-146.04307844143273,-0.14604307844143272,0.041075492041680706,0.8539569215585671,7.11177662217966e-13,1.0030983692642166,-0.14868077974750016
2016-01-15,0.0,6.073150871088728e-10,824.0380650024468,824.0380650030542,1000.0,-175.96193499694584,-0.1759619349969458,-0.03503555718116069,0.8240380650030539,7.36998826755196e-13,1.0030983692642166,-0.17850722296807775
2016-01-18,0.0,6.073150871088728e-10,844.7979477633354,844.7979477639427,1000.0,-155.20205223605728,-0.15520205223605732,0.025192868682360814,0.8447979477639426,7.188879763691987e-13,1.0030983692642166,-0.1578114633128046
2016-01-19,0.0,6.073150871088728e-10,875.9952736264042,875.9952736270116,1000.0,-124.00472637298844,-0.12400472637298843,0.03692874248291389,0.8759952736270114,6.932858034659448e-13,1.0030983692642166,-0.12671049971942105
2016-01-20,0.0,6.073150871088728e-10,867.6215862054025,867.6215862060099,1000.0,-132.37841379399015,-0.13237841379399018,-0.0095590554802093,0.8676215862060096,6.999769216952962e-13,1.0030983692642166,-0.1350583225028874
2016-01-21,0.0,6.073150871088728e-10,831.0898258345385,831.0898258351458,1000.0,-168.9101741648542,-0.1689101741648542,-0.04210563793209943,0.8310898258351456,7.307454239360876e-13,1.0030983692642166,-0.17147724360796357
2016-01-22,0.0,6.073150871088728e-10,846.0444444755282,846.0444444761355,1000.0,-153.95555552386452,-0.15395555552386453,0.0179939859400422,0.8460444444761352,7.178288222020274e-13,1.0030983692642166,-0.15656881677844026
2016-01-25,0.0,6.073150871088728e-10,855.7328128283423,855.7328128289496,1000.0,-144.2671871710504,-0.14426718717105036,0.011451370452308929,0.8557328128289494,7.097017643873703e-13,1.0030983692642166,-0.14691037384834094
2016-01-26,0.0,6.073150871088728e-10,791.5455526302195,791.5455526308268,1000.0,-208.45444736917318,-0.20845444736917318,-0.0750085298072507,0.7915455526308267,7.672522258388858e-13,1.0030983692642166,-0.21089937249979396
2016-01-27,0.0,6.073150871088728e-10,783.4627524922078,783.4627524928151,1000.0,-216.53724750718493,-0.21653724750718495,-0.01021141501098366,0.7834627524928149,7.751677858028641e-13,1.0030983692642166,-0.21895720649262618
2016-01-28,0.0,6.073150871088728e-10,745.6244981262525,745.6244981268599,1000.0,-254.37550187314014,-0.2543755018731402,-0.04829617521134444,0.7456244981268597,8.145052752887752e-13,1.0030983692642166,-0.2566785860954163
2016-01-29,0.0,6.073150871088728e-10,775.958128519989,775.9581285205963,1000.0,-224.04187147940365,-0.2240418714794037,0.04068218046743355,0.7759581285205962,7.826647660315769e-13,1.0030983692642166,-0.22643865018964215
2016-02-01,1000.0,0.0,1767.4193296178294,1767.4193296178294,2000.0,-232.58067038217064,-0.11629033519108534,-0.011004200599131098,0.7674193296178292,0.0,1.0030983692642166,-0.2349510744586899
