date,close
2015-01-05,2363.95
2015-01-06,2386.62
2015-01-07,2399.02
2015-01-08,2399.28
2015-01-09,2370.28
2015-01-12,2350.8
2015-01-13,2380.5
2015-01-14,2365.96
2015-01-15,2387.31
2015-01-16,2417.85
2015-01-19,2322.11
2015-01-20,2398.11
2015-01-21,2451.22
2015-01-22,2473.85
2015-01-23,2475.39
2015-01-26,2521.43
2015-01-27,2538.59
2015-01-28,2517.54
2015-01-29,2497.35
2015-01-30,2475.33
2015-02-02,2465.82
2015-02-03,2502.38
2015-02-04,2485.64
2015-02-05,2457.03
2015-02-06,2413.72
2015-02-09,2403.0
2015-02-10,2428.87
2015-02-11,2441.86
2015-02-12,2469.06
2015-02-13,2501.06
2015-02-16,2541.09
2015-02-17,2561.52
2015-02-25,2562.38
2015-02-26,2590.89
2015-02-27,2623.12
2015-03-02,2666.77
2015-03-03,2645.18
2015-03-04,2697.26
2015-03-05,2708.53
2015-03-06,2692.77
2015-03-09,2723.36
2015-03-10,2754.56
2015-03-11,2746.36
2015-03-12,2733.95
2015-03-13,2761.83
2015-03-16,2829.23
2015-03-17,2859.58
2015-03-18,2908.83
2015-03-19,2947.2
2015-03-20,2952.61
2015-03-23,3004.62
2015-03-24,3008.5
2015-03-25,3036.35
2015-03-26,3037.1
2015-03-27,3058.63
2015-03-30,3087.15
2015-03-31,3080.33
2015-04-01,3155.33
2015-04-02,3221.67
2015-04-03,3278.37
2015-04-07,3346.35
2015-04-08,3313.18
2015-04-09,3270.26
2015-04-10,3358.74
2015-04-13,3433.96
2015-04-14,3436.78
2015-04-15,3330.21
2015-04-16,3371.44
2015-04-17,3392.68
2015-04-20,3298.85
2015-04-21,3410.87
2015-04-22,3508.67
2015-04-23,3549.39
2015-04-24,3570.82
2015-04-27,3645.96
2015-04-28,3550.25
2015-04-29,3606.67
2015-04-30,3592.24
2015-05-04,3629.54
2015-05-05,3519.56
2015-05-06,3464.26
2015-05-07,3392.76
2015-05-08,3504.76
2015-05-11,3634.36
2015-05-12,3700.44
2015-05-13,3732.78
2015-05-14,3770.91
2015-05-15,3733.69
2015-05-18,3781.32
2015-05-19,3881.59
2015-05-20,3958.49
2015-05-21,4096.18
2015-05-22,4177.14
2015-05-25,4308.82
2015-05-26,4443.17
2015-05-27,4520.19
2015-05-28,4255.17
2015-05-29,4307.63
2015-06-01,4520.79
2015-06-02,4688.25
2015-06-03,4704.29
2015-06-04,4711.76
2015-06-05,4799.67
2015-06-08,4757.41
2015-06-09,4760.19
2015-06-10,4855.59
2015-06-11,4931.31
2015-06-12,5014.72
2015-06-15,4925.53
2015-06-16,4748.69
2015-06-17,4843.82
2015-06-18,4695.1
2015-06-19,4366.24
2015-06-23,4375.09
2015-06-24,4481.12
2015-06-25,4335.33
2015-06-26,3998.6
2015-06-29,3768.94
2015-06-30,3919.11
2015-07-01,3716.2
2015-07-02,3494.16
2015-07-03,3276.46
2015-07-06,3191.3
2015-07-07,2992.8
2015-07-08,2886.72
2015-07-09,3002.99
2015-07-10,3127.38
2015-07-13,3277.55
2015-07-14,3338.56
2015-07-16,3241.64
2015-07-17,3407.62
2015-07-20,3468.77
2015-07-21,3520.19
2015-07-22,3581.99
2015-07-23,3685.51
2015-07-24,3618.27
2015-07-27,3347.21
2015-07-28,3253.05
2015-07-29,3402.43
2015-07-30,3311.82
2015-07-31,3270.8
2015-08-03,3170.99
2015-08-04,3342.48
2015-08-05,3321.56
2015-08-06,3320.83
2015-08-07,3414.67
2015-08-10,3577.99
2015-08-11,3604.59
2015-08-12,3541.42
2015-08-13,3628.37
2015-08-14,3661.94
2015-08-17,3731.77
2015-08-18,3456.13
2015-08-19,3527.65
2015-08-20,3395.42
2015-08-21,3215.92
2015-08-24,2954.09
2015-08-25,2722.8
2015-08-26,2636.79
2015-08-27,2744.83
2015-08-28,2913.28
2015-08-31,2824.67
2015-09-01,2679.95
2015-09-07,2630.18
2015-09-08,2746.43
2015-09-09,2840.4
2015-09-10,2787.62
2015-09-11,2803.09
2015-09-14,2619.41
2015-09-15,2486.34
2015-09-16,2659.92
2015-09-17,2613.42
2015-09-18,2643.23
