date,close
2015-01-05,4232.15
2015-01-06,4113.73
2015-01-07,4118.13
2015-01-08,4018.29
2015-01-09,3975.9
2015-01-12,3887.28
2015-01-13,3899.47
2015-01-14,3915.66
2015-01-15,4048.73
2015-01-16,4048.13
2015-01-19,3772.58
2015-01-20,3894.43
2015-01-21,4069.3
2015-01-22,4141.99
2015-01-23,4169.43
2015-01-26,4227.2
2015-01-27,4153.9
2015-01-28,4098.9
2015-01-29,4084.56
2015-01-30,4097.44
2015-02-02,4054.69
2015-02-03,4089.04
2015-02-04,4081.1
2015-02-05,4049.09
2015-02-06,3927.69
2015-02-09,3886.05
2015-02-10,3952.64
2015-02-11,3983.71
2015-02-12,4005.29
2015-02-13,4104.69
2015-02-16,4113.72
2015-02-17,4177.86
2015-02-25,4120.17
2015-02-26,4212.45
2015-02-27,4213.18
2015-03-02,4258.78
2015-03-03,4156.06
2015-03-04,4193.38
2015-03-05,4162.89
2015-03-06,4159.82
2015-03-09,4223.05
2015-03-10,4220.31
2015-03-11,4234.53
2015-03-12,4288.87
2015-03-13,4294.46
2015-03-16,4411.45
2015-03-17,4458.66
2015-03-18,4564.48
2015-03-19,4550.03
2015-03-20,4642.07
2015-03-23,4750.02
2015-03-24,4738.21
2015-03-25,4730.19
2015-03-26,4726.33
2015-03-27,4887.26
2015-03-30,5118.9
2015-03-31,5030.66
2015-04-01,5043.87
2015-04-02,5055.57
2015-04-03,5107.35
2015-04-07,5235.47
2015-04-08,5285.51
2015-04-09,5433.7
2015-04-10,5474.26
2015-04-13,5538.77
2015-04-14,5508.79
2015-04-15,5346.41
2015-04-16,5435.69
2015-04-17,5496.72
2015-04-20,5423.8
2015-04-21,5555.7
2015-04-22,5711.66
2015-04-23,5735.44
2015-04-24,5709.21
2015-04-27,5768.93
2015-04-28,5641.94
2015-04-29,5734.54
2015-04-30,5861.22
2015-05-04,5867.33
2015-05-05,5577.9
2015-05-06,5472.52
2015-05-07,5403.71
2015-05-08,5546.63
2015-05-11,5725.63
2015-05-12,5771.13
2015-05-13,5906.83
2015-05-14,5869.66
2015-05-15,5778.54
2015-05-18,5805.18
2015-05-19,5993.11
2015-05-20,6062.64
2015-05-21,6213.86
2015-05-22,6366.15
2015-05-25,6546.8
2015-05-26,6733.76
2015-05-27,6744.96
2015-05-28,6333.93
2015-05-29,6366.91
2015-06-01,6663.93
2015-06-02,6849.71
2015-06-03,6923.81
2015-06-04,6914.13
2015-06-05,7130.16
2015-06-08,7195.25
2015-06-09,7131.1
2015-06-10,7269.09
2015-06-11,7358.36
2015-06-12,7480.48
2015-06-15,7413.03
2015-06-16,7191.78
2015-06-17,7273.17
2015-06-18,7129.1
2015-06-19,6651.32
2015-06-23,6650.55
2015-06-24,6817.87
2015-06-25,6650.43
2015-06-26,6111.45
2015-06-29,5840.24
2015-06-30,6111.36
2015-07-01,5758.19
2015-07-02,5398.61
2015-07-03,5035.66
2015-07-06,4979.94
2015-07-07,4731.28
2015-07-08,4512.31
2015-07-09,4739.54
2015-07-10,4955.68
2015-07-13,5183.51
2015-07-14,5243.43
2015-07-16,5052.87
2015-07-17,5301.69
2015-07-20,5395.83
2015-07-21,5404.55
2015-07-22,5446.3
2015-07-23,5651.3
2015-07-24,5647.97
2015-07-27,5211.06
2015-07-28,5139.98
2015-07-29,5339.26
2015-07-30,5161.48
2015-07-31,5159.05
2015-08-03,5091.08
2015-08-04,5303.56
2015-08-05,5181.91
2015-08-06,5082.91
2015-08-07,5221.0
2015-08-10,5470.6
2015-08-11,5514.77
2015-08-12,5445.49
2015-08-13,5612.6
2015-08-14,5742.19
2015-08-17,5918.69
2015-08-18,5475.06
2015-08-19,5612.4
2015-08-20,5354.2
2015-08-21,5064.04
2015-08-24,4638.21
2015-08-25,4315.14
2015-08-26,4219.89
2015-08-27,4364.84
2015-08-28,4624.65
2015-08-31,4534.88
2015-09-01,4398.46
2015-09-07,4253.99
2015-09-08,4400.21
2015-09-09,4534.13
2015-09-10,4472.8
2015-09-11,4553.16
2015-09-14,4323.7
2015-09-15,4108.65
2015-09-16,4362.05
2015-09-17,4249.09
2015-09-18,4277.23
2015-09-21,4387.64
2015-09-22,4432.66
2015-09-23,4355.3
2015-09-24,4382.27
2015-09-25,4273.87
2015-09-28,4300.32
2015-09-29,4208.68
2015-09-30,4234.09
2015-10-08,4388.76
2015-10-09,4452.7
2015-10-12,4611.07
2015-10-13,4646.51
2015-10-14,4587.73
2015-10-15,4718.78
2015-10-16,4852.92
2015-10-19,4860.5
2015-10-20,4911.74
2015-10-21,4660.79
2015-10-22,4833.88
2015-10-23,5007.59
2015-10-26,4991.85
2015-10-27,4982.1
2015-10-28,4855.75
2015-10-29,4914.95
2015-10-30,4923.82
2015-11-02,4817.6
2015-11-03,4816.23
2015-11-04,5041.19
2015-11-05,5070.22
2015-11-06,5149.5
2015-11-09,5238.03
2015-11-10,5213.17
2015-11-11,5272.24
2015-11-12,5249.85
2015-11-13,5166.14
2015-11-16,5255.77
2015-11-17,5236.34
2015-11-18,5319.66
2015-11-19,5352.67
2015-11-20,5413.58
2015-11-23,5389.31
2015-11-24,5398.97
2015-11-25,5435.09
2015-11-26,5445.26
2015-11-27,5121.12
2015-11-30,5198.53
2015-12-01,5433.19
2015-12-02,5513.98
2015-12-03,5639.65
2015-12-04,5583.92
2015-12-07,5606.19
2015-12-08,5490.43
2015-12-09,5602.01
2015-12-10,5529.76
2015-12-11,5491.13
2015-12-14,5584.03
2015-12-15,5689.56
2015-12-16,5671.35
2015-12-17,5946.7
2015-12-18,5993.03
2015-12-21,6107.63
2015-12-22,6176.65
2015-12-23,6160.78
2015-12-24,6071.56
2015-12-25,6102.47
2015-12-28,5926.41
2015-12-29,5977.89
2015-12-30,5991.25
2015-12-31,5918.08
2016-01-04,5478.39
2016-01-05,5432.49
2016-01-06,5554.07
2016-01-07,5118.04
2016-01-08,5183.74
2016-01-11,4892.31
2016-01-12,4909.88
2016-01-13,4755.25
2016-01-14,4876.74
2016-01-15,4685.57
2016-01-18,4729.55
2016-01-19,4925.93
2016-01-20,4871.11
2016-01-21,4694.69
2016-01-22,4745.91
2016-01-25,4787.59
2016-01-26,4463.8
2016-01-27,4408.9
2016-01-28,4277.31
2016-01-29,4424.82
2016-02-01,4387.61
2016-02-02,4523.55
2016-02-03,4583.35
2016-02-04,4626.72
2016-02-05,4561.01
2016-02-15,4530.49
2016-02-16,4689.79
2016-02-17,4749.41
2016-02-18,4754.94
2016-02-19,4750.58
2016-02-22,4855.65
2016-02-23,4814.02
2016-02-24,4854.44
2016-02-25,4524.22
2016-02-26,4535.57
2016-02-29,4423.9
2016-03-01,4553.11
2016-03-02,4848.18
2016-03-03,4843.58
2016-03-04,4751.97
2016-03-07,4791.34
2016-03-08,4741.88
2016-03-09,4644.25
2016-03-10,4541.51
2016-03-11,4509.67
2016-03-14,4624.22
2016-03-15,4592.71
2016-03-16,4561.98
2016-03-17,4652.38
2016-03-18,4783.2
2016-03-21,4892.95
2016-03-22,4839.3
2016-03-23,4862.52
2016-03-24,4806.8
2016-03-25,4854.5
2016-03-28,4802.97
2016-03-29,4722.24
2016-03-30,4844.05
2016-03-31,4844.64
2016-04-01,4843.8
2016-04-05,4940.4
2016-04-06,4942.04
2016-04-07,4876.96
2016-04-08,4847.06
2016-04-11,4923.67
2016-04-12,4898.99
2016-04-13,4946.07
2016-04-14,4998.44
2016-04-15,5003.66
2016-04-20,4790.46
2016-04-21,4744.44
2016-04-22,4772.01
2016-04-25,4740.05
2016-04-26,4779.96
2016-04-27,4786.96
2016-04-28,4769.82
2016-04-29,4768.14
2016-05-03,4847.54
2016-05-04,4853.44
2016-05-05,4884.0
2016-05-06,4754.46
2016-05-09,4608.9
2016-05-10,4604.69
2016-05-11,4590.14
2016-05-12,4565.24
2016-05-13,4553.66
2016-05-16,4587.12
2016-05-17,4559.23
2016-05-18,4507.56
2016-05-19,4501.52
2016-05-20,4527.46
2016-05-23,4572.56
2016-05-24,4533.61
2016-05-25,4520.59
2016-05-26,4519.24
2016-05-27,4528.17
2016-05-30,4505.88
2016-05-31,4637.41
2016-06-01,4639.52
2016-06-02,4667.28
2016-06-03,4672.02
2016-06-06,4682.37
2016-06-07,4666.04
2016-06-08,4667.94
2016-06-13,4501.95
2016-06-14,4514.99
2016-06-15,4599.75
2016-06-16,4571.15
2016-06-17,4590.3
2016-06-20,4597.44
2016-06-21,4581.83
2016-06-22,4617.31
2016-06-23,4600.28
2016-06-24,4557.04
2016-06-27,4618.47
2016-06-28,4645.99
2016-06-29,4662.2
2016-06-30,4670.5
2016-07-01,4677.19
2016-07-05,4645.56
2016-07-06,4659.7
2016-07-07,4622.9
2016-07-08,4613.02
2016-07-11,4573.66
2016-07-12,4616.62
2016-07-13,4663.87
2016-07-14,4672.54
2016-07-15,4681.86
2016-07-18,4648.44
2016-07-19,4632.58
2016-07-20,4624.81
2016-07-21,4637.19
2016-07-22,4617.42
2016-07-25,4647.36
2016-07-26,4688.17
2016-07-27,4540.9
2016-07-28,4556.38
2016-07-29,4498.01
2016-08-01,4448.39
2016-08-02,4505.89
2016-08-03,4571.26
2016-08-04,4659.71
2016-08-05,4705.73
2016-08-08,4797.87
2016-08-09,4810.54
2016-08-10,4745.5
2016-08-11,4683.28
2016-08-12,4901.66
2016-08-15,5124.58
2016-08-16,5171.5
2016-08-17,5101.06
2016-08-18,5187.99
2016-08-19,5132.74
2016-08-22,5100.84
2016-08-23,5074.42
2016-08-24,5036.8
2016-08-25,4950.09
2016-08-26,4930.46
2016-08-29,4957.1
2016-08-30,4932.51
2016-08-31,5042.12
2016-09-01,4911.13
2016-09-02,4918.51
2016-09-05,4913.88
2016-09-06,4941.79
2016-09-07,4939.17
2016-09-08,4954.49
2016-09-09,4906.94
2016-09-12,4848.41
2016-09-13,4876.45
2016-09-14,4866.59
2016-09-19,4901.83
2016-09-20,4912.14
2016-09-21,4952.32
2016-09-22,5074.65
2016-09-23,4992.13
2016-09-26,4902.08
2016-09-27,4990.76
2016-09-28,4983.21
2016-09-29,4999.65
2016-09-30,5025.19
2016-10-10,4956.56
2016-10-11,4996.91
2016-10-12,5008.86
2016-10-13,5021.67
2016-10-14,5017.12
2016-10-17,4959.98
2016-10-18,5004.97
2016-10-19,4998.02
2016-10-20,5009.6
2016-10-21,4982.02
2016-10-24,5016.27
2016-10-25,5034.44
2016-10-26,5054.1
2016-10-27,5037.78
2016-10-28,4999.36
2016-10-31,5006.34
2016-11-01,5061.02
2016-11-02,5011.38
2016-11-03,5030.69
2016-11-04,5009.47
2016-11-07,4988.86
2016-11-08,5015.26
2016-11-09,5048.61
2016-11-10,5108.47
2016-11-11,5110.98
2016-11-14,5108.35
2016-11-15,5164.24
2016-11-16,5162.31
2016-11-17,5168.35
2016-11-18,5180.54
2016-11-21,5189.37
2016-11-22,5213.99
2016-11-23,5259.44
2016-11-24,5275.8
2016-11-25,5319.91
2016-11-28,5290.31
