date,close
2015-01-05,1484.44
2015-01-06,1544.21
2015-01-07,1521.46
2015-01-08,1510.24
2015-01-09,1485.78
2015-01-12,1436.07
2015-01-13,1458.61
2015-01-14,1468.42
2015-01-15,1487.4
2015-01-16,1505.49
2015-01-19,1430.86
2015-01-20,1481.67
2015-01-21,1535.99
2015-01-22,1626.63
2015-01-23,1588.43
2015-01-26,1619.76
2015-01-27,1636.51
2015-01-28,1595.88
2015-01-29,1569.8
2015-01-30,1550.34
2015-02-02,1558.32
2015-02-03,1572.97
2015-02-04,1571.5
2015-02-05,1533.42
2015-02-06,1485.35
2015-02-09,1481.7
2015-02-10,1503.93
2015-02-11,1521.81
2015-02-12,1513.66
2015-02-13,1542.71
2015-02-16,1568.33
2015-02-17,1564.74
2015-02-25,1581.3
2015-02-26,1600.75
2015-02-27,1637.7
2015-03-02,1648.81
2015-03-03,1638.04
2015-03-04,1648.46
2015-03-05,1620.99
2015-03-06,1610.45
2015-03-09,1635.77
2015-03-10,1628.93
2015-03-11,1618.93
2015-03-12,1617.99
2015-03-13,1623.76
2015-03-16,1668.39
2015-03-17,1704.13
2015-03-18,1733.23
2015-03-19,1738.55
2015-03-20,1741.8
2015-03-23,1751.58
2015-03-24,1760.45
2015-03-25,1775.93
2015-03-26,1844.0
2015-03-27,1817.0
2015-03-30,1846.23
2015-03-31,1844.36
2015-04-01,1864.25
2015-04-02,1861.26
2015-04-03,1913.59
2015-04-07,1921.04
2015-04-08,1868.7
2015-04-09,1820.58
2015-04-10,1874.39
2015-04-13,1897.85
2015-04-14,1944.61
2015-04-15,1873.64
2015-04-16,1951.16
2015-04-17,2072.5
2015-04-20,2161.07
2015-04-21,2166.91
2015-04-22,2221.44
2015-04-23,2199.39
2015-04-24,2220.04
2015-04-27,2335.77
2015-04-28,2272.09
2015-04-29,2287.95
2015-04-30,2305.18
2015-05-04,2454.86
2015-05-05,2404.55
2015-05-06,2319.41
2015-05-07,2191.71
2015-05-08,2260.38
2015-05-11,2328.03
2015-05-12,2489.34
2015-05-13,2434.54
2015-05-14,2414.2
2015-05-15,2479.13
2015-05-18,2494.72
2015-05-19,2526.87
2015-05-20,2613.01
2015-05-21,2678.22
2015-05-22,2721.62
2015-05-25,2943.54
2015-05-26,3191.75
2015-05-27,3204.69
2015-05-28,2942.88
2015-05-29,3012.3
2015-06-01,3147.68
2015-06-02,3207.27
2015-06-03,3098.42
2015-06-04,3079.54
2015-06-05,3152.09
2015-06-08,3087.29
2015-06-09,3136.99
2015-06-10,3100.58
2015-06-11,3133.64
2015-06-12,3181.64
2015-06-15,3138.41
2015-06-16,2975.1
2015-06-17,2990.9
2015-06-18,2903.33
2015-06-19,2808.22
2015-06-23,2952.59
2015-06-24,3022.1
2015-06-25,2947.16
2015-06-26,2666.09
2015-06-29,2441.61
2015-06-30,2575.58
2015-07-01,2376.36
2015-07-02,2152.94
2015-07-03,1956.12
2015-07-06,1837.58
2015-07-07,1666.95
2015-07-08,1528.51
2015-07-09,1655.91
2015-07-10,1796.35
2015-07-13,1957.08
2015-07-14,2048.93
2015-07-16,2040.72
2015-07-17,2228.16
2015-07-20,2347.27
2015-07-21,2321.46
2015-07-22,2457.17
2015-07-23,2523.32
2015-07-24,2554.59
2015-07-27,2331.8
2015-07-28,2303.56
2015-07-29,2511.88
2015-07-30,2571.27
2015-07-31,2378.23
2015-08-03,2166.56
2015-08-04,2369.16
2015-08-05,2389.45
2015-08-06,2355.31
2015-08-07,2443.03
2015-08-10,2639.94
2015-08-11,2663.75
2015-08-12,2677.53
2015-08-13,2721.63
2015-08-14,2702.14
2015-08-17,2720.89
2015-08-18,2504.92
2015-08-19,2542.01
2015-08-20,2352.68
2015-08-21,2288.6
2015-08-24,2081.26
2015-08-25,1894.83
2015-08-26,1730.93
2015-08-27,1840.08
2015-08-28,2002.55
2015-08-31,2047.36
2015-09-01,1909.16
2015-09-07,1717.92
2015-09-08,1750.62
2015-09-09,1790.12
2015-09-10,1805.78
2015-09-11,1782.28
2015-09-14,1695.53
2015-09-15,1549.45
2015-09-16,1669.32
2015-09-17,1625.71
2015-09-18,1626.41
2015-09-21,1725.95
2015-09-22,1732.03
2015-09-23,1717.13
2015-09-24,1749.33
2015-09-25,1689.5
2015-09-28,1696.22
2015-09-29,1631.83
2015-09-30,1710.58
2015-10-08,1775.88
2015-10-09,1810.35
2015-10-12,1888.91
2015-10-13,1910.84
2015-10-14,1891.42
2015-10-15,1971.38
2015-10-16,2018.31
2015-10-19,1970.76
2015-10-20,2025.13
2015-10-21,1881.89
2015-10-22,1969.91
2015-10-23,1993.83
2015-10-26,2025.95
2015-10-27,2171.15
2015-10-28,2061.63
2015-10-29,2087.57
2015-10-30,2061.47
2015-11-02,1978.22
2015-11-03,1971.11
2015-11-04,2066.61
2015-11-05,2080.84
2015-11-06,2136.9
2015-11-09,2151.86
2015-11-10,2144.83
2015-11-11,2150.18
2015-11-12,2163.41
2015-11-13,2083.56
2015-11-16,2112.26
2015-11-17,2154.07
2015-11-18,2080.65
2015-11-19,2135.51
2015-11-20,2174.12
2015-11-23,2149.22
2015-11-24,2136.07
2015-11-25,2166.83
2015-11-26,2171.23
2015-11-27,2013.41
2015-11-30,1963.86
2015-12-01,1952.59
2015-12-02,1949.22
2015-12-03,1983.25
2015-12-04,1951.22
2015-12-07,1954.15
2015-12-08,1885.67
2015-12-09,1907.43
2015-12-10,1860.65
2015-12-11,1862.4
2015-12-14,1917.17
2015-12-15,1920.83
2015-12-16,1911.99
2015-12-17,1945.7
2015-12-18,1937.64
2015-12-21,1962.54
2015-12-22,1972.19
2015-12-23,1937.67
2015-12-24,1901.99
2015-12-25,1919.93
2015-12-28,1871.1
2015-12-29,1882.11
2015-12-30,1916.56
2015-12-31,1892.29
2016-01-04,1760.58
2016-01-05,1829.08
2016-01-06,1865.91
2016-01-07,1688.36
2016-01-08,1685.97
2016-01-11,1537.95
2016-01-12,1523.17
2016-01-13,1435.38
2016-01-14,1520.64
2016-01-15,1498.17
2016-01-18,1530.33
2016-01-19,1601.3
2016-01-20,1573.79
2016-01-21,1507.2
2016-01-22,1533.53
2016-01-25,1538.95
2016-01-26,1415.95
2016-01-27,1431.51
2016-01-28,1326.84
2016-01-29,1363.29
2016-02-01,1322.52
2016-02-02,1375.44
2016-02-03,1381.62
2016-02-04,1416.32
2016-02-05,1405.58
2016-02-15,1410.77
2016-02-16,1478.52
2016-02-17,1524.15
2016-02-18,1498.1
2016-02-19,1516.48
2016-02-22,1536.27
2016-02-23,1509.99
2016-02-24,1537.48
2016-02-25,1387.98
2016-02-26,1387.89
2016-02-29,1306.32
2016-03-01,1348.96
2016-03-02,1424.4
2016-03-03,1426.16
2016-03-04,1411.91
2016-03-07,1441.03
2016-03-08,1421.66
2016-03-09,1393.33
2016-03-10,1361.33
2016-03-11,1353.73
2016-03-14,1403.4
2016-03-15,1402.59
2016-03-16,1371.63
2016-03-17,1418.48
2016-03-18,1475.57
2016-03-21,1522.77
2016-03-22,1568.25
2016-03-23,1554.7
2016-03-24,1535.08
2016-03-25,1542.53
2016-03-28,1531.56
2016-03-29,1486.18
2016-03-30,1539.13
2016-03-31,1549.26
2016-04-01,1531.79
2016-04-05,1568.58
2016-04-06,1570.89
2016-04-07,1528.19
2016-04-08,1507.46
2016-04-11,1532.54
2016-04-12,1516.7
2016-04-13,1538.09
2016-04-14,1549.24
2016-04-15,1554.21
